Start,GOES Class,Class_Type
2026-02-11 19:43:00,C3.1,C
2026-02-11 21:16:00,C1.3,C
2026-02-11 22:42:00,C2.0,C
2026-02-11 23:23:00,C3.1,C
2026-02-12 01:44:00,B9.6,B
2026-02-12 02:29:00,M1.4,M
2026-02-12 07:25:00,C1.1,C
2026-02-12 09:17:00,C1.0,C
2026-02-12 10:49:00,C1.1,C
2026-02-12 13:10:00,B8.5,B
2026-02-12 13:34:00,C1.0,C
2026-02-12 16:20:00,C1.1,C
2026-02-13 01:26:00,B7.7,B
2026-02-13 05:52:00,B7.4,B
2026-02-13 07:42:00,B8.0,B
2026-02-13 08:28:00,M1.1,M
2026-02-13 11:49:00,B8.5,B
2026-02-14 02:15:00,B8.0,B
2026-02-14 04:19:00,C1.2,C
2026-02-14 05:59:00,C2.0,C
2026-02-14 06:58:00,B7.6,B
2026-02-14 07:26:00,B6.9,B
2026-02-14 08:28:00,B7.5,B
2026-02-14 09:16:00,B7.6,B
2026-02-14 11:02:00,C6.0,C
2026-02-14 14:18:00,B6.8,B
2026-02-14 16:53:00,B6.8,B
2026-02-14 21:36:00,B7.6,B
2026-02-14 22:31:00,B6.1,B
2026-02-15 03:28:00,B6.5,B
2026-02-15 07:19:00,C1.3,C
2026-02-15 16:09:00,B7.3,B
2026-02-15 20:58:00,C1.8,C
2026-02-16 04:03:00,M2.5,M
2026-02-16 12:10:00,C1.1,C
2026-02-16 12:24:00,C1.0,C
2026-02-16 16:00:00,B6.8,B
2026-02-16 17:51:00,B6.3,B
2026-02-16 18:17:00,B7.2,B
2026-02-16 18:29:00,B7.3,B
2026-02-17 04:41:00,C1.0,C
2026-02-17 15:47:00,B9.8,B
2026-02-17 18:37:00,C1.1,C
2026-02-17 23:07:00,C1.8,C
2026-02-18 03:38:00,B5.6,B
2026-02-18 04:31:00,B6.8,B
2026-02-18 04:58:00,C1.4,C
2026-02-18 13:30:00,B5.8,B
2026-02-18 19:27:00,B9.2,B
2026-02-18 20:17:00,C2.2,C
2026-02-19 06:51:00,C1.1,C
2026-02-19 06:52:00,C2.0,C
2026-02-19 07:13:00,C2.0,C
2026-02-19 10:06:00,C1.0,C
2026-02-19 19:06:00,C1.6,C
2026-02-20 02:52:00,C2.8,C
2026-02-20 05:54:00,B8.1,B
2026-02-20 12:07:00,B6.0,B
2026-02-20 16:40:00,B5.5,B
2026-02-21 08:53:00,B4.6,B
2026-02-21 12:23:00,B6.6,B
2026-02-21 16:47:00,B5.2,B
2026-02-21 18:03:00,B6.7,B
2026-02-21 19:54:00,B4.4,B
2026-02-21 21:02:00,B4.5,B
2026-02-22 00:26:00,C1.2,C
2026-02-22 01:02:00,B7.7,B
2026-02-22 06:20:00,C2.2,C
2026-02-22 11:39:00,C1.0,C
2026-02-22 11:52:00,C1.0,C
2026-02-22 15:26:00,C1.5,C
2026-02-22 15:28:00,C1.5,C
2026-02-23 02:43:00,B5.0,B
2026-02-23 15:20:00,B5.4,B
2026-02-23 23:15:00,B5.7,B
2026-02-24 07:21:00,C1.1,C
2026-02-24 07:22:00,C1.0,C
2026-02-24 08:54:00,B9.6,B
2026-02-24 10:09:00,C1.4,C
2026-02-24 12:06:00,C3.0,C
2026-02-24 15:16:00,C2.6,C
2026-02-24 16:06:00,C4.1,C
2026-02-24 17:01:00,C4.5,C
2026-02-24 18:31:00,C3.6,C
2026-02-24 19:12:00,C3.2,C
2026-02-24 19:35:00,C2.6,C
2026-02-24 21:08:00,C2.2,C
2026-02-24 23:04:00,C2.1,C
2026-02-24 23:20:00,C2.4,C
2026-02-25 00:08:00,C2.3,C
2026-02-25 00:32:00,C5.3,C
2026-02-25 02:19:00,C1.4,C
2026-02-25 02:59:00,C1.5,C
2026-02-25 04:13:00,B9.9,B
2026-02-25 04:35:00,C1.2,C
2026-02-25 05:08:00,C4.8,C
2026-02-25 06:41:00,C2.6,C
2026-02-25 08:05:00,C1.1,C
2026-02-25 08:48:00,C2.6,C
2026-02-25 09:38:00,C3.2,C
2026-02-25 10:26:00,C1.2,C
2026-02-25 11:02:00,C4.0,C
2026-02-25 12:38:00,B9.9,B
2026-02-25 15:35:00,M2.3,M
2026-02-25 16:15:00,M1.0,M
2026-02-25 16:27:00,C7.8,C
2026-02-25 18:40:00,C1.8,C
2026-02-25 19:01:00,C1.8,C
